Year,Count,Tract,Neighborhood,Month,Longitude,Latitude,CITY
2014,11.39135727,"Census Tract 1021.04, Los Angeles County, California",Shadow Hills,January,34.216189,-118.3456235,Burbank
2014,11.44396506,"Census Tract 1021.05, Los Angeles County, California",Sun Valley,January,34.210852,-118.3480495,Burbank
2014,11.16243397,"Census Tract 1021.07, Los Angeles County, California",Shadow Hills,January,34.2412955,-118.3292705,Burbank
2014,10.80761263,"Census Tract 1032, Los Angeles County, California",Lake View Terrace,January,34.2745565,-118.3439025,San Fernando
2014,10.94978856,"Census Tract 1033, Los Angeles County, California",Shadow Hills,January,34.255439,-118.3527775,Burbank
2014,11.0556707,"Census Tract 1034, Los Angeles County, California",Sunland,January,34.253933,-118.3147245,Burbank
2014,10.60618348,"Census Tract 1041.03, Los Angeles County, California",Lake View Terrace,January,34.2819045,-118.3918905,San Fernando
2014,10.6415366,"Census Tract 1041.05, Los Angeles County, California",Pacoima,January,34.276146,-118.404645,San Fernando
2014,10.68761951,"Census Tract 1041.08, Los Angeles County, California",Pacoima,January,34.271671,-118.397614,San Fernando
2014,10.58812977,"Census Tract 1041.24, Los Angeles County, California",Lopez/Kagel Canyons,January,34.287866,-118.376208,San Fernando
2014,10.50507149,"Census Tract 1042.01, Los Angeles County, California",Pacoima,January,34.2867415,-118.4160805,San Fernando
2014,10.59443142,"Census Tract 1042.03, Los Angeles County, California",Pacoima,January,34.279058,-118.411554,San Fernando
2014,10.52210187,"Census Tract 1042.04, Los Angeles County, California",Lake View Terrace,January,34.2886315,-118.396898,San Fernando
2014,10.57817848,"Census Tract 1043.10, Los Angeles County, California",Pacoima,January,34.2762555,-118.4293915,San Fernando
2014,10.63492965,"Census Tract 1043.20, Los Angeles County, California",Pacoima,January,34.27316,-118.4202235,San Fernando
2014,10.66524942,"Census Tract 1044.01, Los Angeles County, California",Pacoima,January,34.2670615,-118.433071,San Fernando
2014,10.74461497,"Census Tract 1044.03, Los Angeles County, California",Pacoima,January,34.2589085,-118.4345385,San Fernando
2014,10.707978599999999,"Census Tract 1044.04, Los Angeles County, California",Pacoima,January,34.2639205,-118.4286915,San Fernando
2014,10.80162287,"Census Tract 1045, Los Angeles County, California",Pacoima,January,34.25551,-118.4257485,San Fernando
2014,10.76935849,"Census Tract 1046.10, Los Angeles County, California",Pacoima,January,34.2604335,-118.4189955,San Fernando
2014,10.78609168,"Census Tract 1046.20, Los Angeles County, California",Pacoima,January,34.2579045,-118.422465,San Fernando
2014,10.6960735,"Census Tract 1047.01, Los Angeles County, California",Pacoima,January,34.268476,-118.4152165,San Fernando
2014,10.86979129,"Census Tract 1047.03, Los Angeles County, California",Pacoima,January,34.2551165,-118.399872,San Fernando
2014,10.77370463,"Census Tract 1047.04, Los Angeles County, California",Pacoima,January,34.2625155,-118.4088415,San Fernando
2014,10.89333262,"Census Tract 1048.10, Los Angeles County, California",Pacoima,January,34.2502955,-118.411179,San Fernando
2014,10.91753856,"Census Tract 1048.21, Los Angeles County, California",Pacoima,January,34.2465705,-118.416294,San Fernando
2014,10.91242527,"Census Tract 1048.22, Los Angeles County, California",Pacoima,January,34.245882,-118.4209225,San Fernando
2014,10.03358661,"Census Tract 1060.10, Los Angeles County, California",Sylmar,January,34.3231715,-118.444538,San Fernando
2014,10.10903402,"Census Tract 1060.20, Los Angeles County, California",Sylmar,January,34.320427,-118.428524,San Fernando
2014,10.15355685,"Census Tract 1061.11, Los Angeles County, California",Sylmar,January,34.3231945,-118.4087995,San Fernando
2014,10.31175918,"Census Tract 1061.12, Los Angeles County, California",Sylmar,January,34.305005,-118.414298,San Fernando
2014,10.28246911,"Census Tract 1061.13, Los Angeles County, California",Sylmar,January,34.3062,-118.42203,San Fernando
2014,10.30804887,"Census Tract 1061.14, Los Angeles County, California",Sylmar,January,34.302675,-118.426951,San Fernando
2014,10.23966592,"Census Tract 1064.03, Los Angeles County, California",Sylmar,January,34.306005,-118.441288,San Fernando
2014,10.1329241,"Census Tract 1064.05, Los Angeles County, California",Sylmar,January,34.3146865,-118.448309,San Fernando
2014,10.02550244,"Census Tract 1064.06, Los Angeles County, California",Sylmar,January,34.321542,-118.4587415,San Fernando
2014,10.20326372,"Census Tract 1064.07, Los Angeles County, California",Sylmar,January,34.3105765,-118.4365505,San Fernando
2014,10.16697554,"Census Tract 1064.08, Los Angeles County, California",Sylmar,January,34.3132585,-118.440082,San Fernando
2014,9.952893607,"Census Tract 1065.10, Los Angeles County, California",Sylmar,January,34.3236325,-118.4860245,San Fernando
2014,10.1608219,"Census Tract 1065.20, Los Angeles County, California",Sylmar,January,34.308856,-118.4613605,San Fernando
2014,9.90964252,"Census Tract 1066.03, Los Angeles County, California",Granada Hills,January,34.3189225,-118.5218285,Santa Clarita
2014,10.17365256,"Census Tract 1066.04, Los Angeles County, California",Sylmar,January,34.3042795,-118.474247,San Fernando
2014,10.13513539,"Census Tract 1066.41, Los Angeles County, California",Granada Hills,January,34.298025,-118.509153,San Fernando
2014,10.25432448,"Census Tract 1066.45, Los Angeles County, California",Granada Hills,January,34.2905125,-118.4928915,San Fernando
2014,10.36121994,"Census Tract 1066.46, Los Angeles County, California",Granada Hills,January,34.2790905,-118.4941245,San Fernando
2014,10.33624158,"Census Tract 1066.48, Los Angeles County, California",Sylmar,January,34.293406,-118.4556035,San Fernando
2014,10.36242837,"Census Tract 1066.49, Los Angeles County, California",Sylmar,January,34.288747,-118.4611105,San Fernando
2014,10.26721628,"Census Tract 1070.10, Los Angeles County, California",Sylmar,January,34.302027,-118.446501,San Fernando
2014,10.30449206,"Census Tract 1070.20, Los Angeles County, California",Sylmar,January,34.2975345,-118.4503905,San Fernando
2014,10.15634355,"Census Tract 1081.02, Los Angeles County, California",Porter Ranch,January,34.280795,-118.55492,Chatsworth
2014,10.05894853,"Census Tract 1081.04, Los Angeles County, California",Porter Ranch,January,34.2939525,-118.5470515,Chatsworth
2014,10.06726784,"Census Tract 1082.01, Los Angeles County, California",Porter Ranch,January,34.2857885,-118.562083,Chatsworth
2014,10.00800921,"Census Tract 1082.02, Los Angeles County, California",Chatsworth,January,34.288396,-118.581814,Chatsworth
2014,10.47786135,"Census Tract 1091, Los Angeles County, California",Mission Hills,January,34.278731,-118.4610295,San Fernando
2014,10.43632454,"Census Tract 1092, Los Angeles County, California",Granada Hills,January,34.2786785,-118.474608,San Fernando
2014,10.48642917,"Census Tract 1093, Los Angeles County, California",Granada Hills,January,34.272521,-118.479515,San Fernando
2014,10.58433351,"Census Tract 1094, Los Angeles County, California",Mission Hills,January,34.269881,-118.4552825,San Fernando
2014,10.56505088,"Census Tract 1095, Los Angeles County, California",San Fernando,January,34.274036,-118.4444575,San Fernando
2014,10.69791049,"Census Tract 1096.01, Los Angeles County, California",Mission Hills,January,34.2582765,-118.450367,San Fernando
2014,10.70539593,"Census Tract 1096.03, Los Angeles County, California",Mission Hills,January,34.2536515,-118.465415,San Fernando
2014,10.6276445,"Census Tract 1096.04, Los Angeles County, California",Mission Hills,January,34.2615535,-118.465347,San Fernando
2014,10.57610141,"Census Tract 1097, Los Angeles County, California",Granada Hills,January,34.263394,-118.4810215,San Fernando
2014,10.65399226,"Census Tract 1098, Los Angeles County, California",North Hills,January,34.2537535,-118.481817,San Fernando
2014,10.46917599,"Census Tract 1111, Los Angeles County, California",Granada Hills,January,34.2683575,-118.4946735,San Fernando
2014,10.18507176,"Census Tract 1131.01, Los Angeles County, California",Chatsworth,January,34.265338,-118.5882575,Chatsworth
2014,10.24572144,"Census Tract 1131.02, Los Angeles County, California",Chatsworth,January,34.265325,-118.568068,Chatsworth
2014,10.0666344,"Census Tract 1132.11, Los Angeles County, California",Chatsworth,January,34.2635755,-118.611966,Chatsworth
2014,10.16053514,"Census Tract 1132.12, Los Angeles County, California",Chatsworth,January,34.2608605,-118.6035245,Chatsworth
2014,10.20424981,"Census Tract 1132.13, Los Angeles County, California",Chatsworth,January,34.2535965,-118.608218,Chatsworth
2014,10.41263161,"Census Tract 1132.32, Los Angeles County, California",West Hills,January,34.227417,-118.61402,Canoga Park
2014,10.45037701,"Census Tract 1132.33, Los Angeles County, California",Canoga Park,January,34.2275575,-118.6017175,Canoga Park
2014,10.48736088,"Census Tract 1132.34, Los Angeles County, California",Canoga Park,January,34.227624,-118.59227,Canoga Park
2014,10.25994957,"Census Tract 1132.37, Los Angeles County, California",Chatsworth,January,34.2451855,-118.6125745,Chatsworth
2014,10.39681319,"Census Tract 1133.03, Los Angeles County, California",Chatsworth,January,34.2420235,-118.5801645,Chatsworth
2014,10.26416717,"Census Tract 1133.21, Los Angeles County, California",Chatsworth,January,34.25361,-118.5913535,Chatsworth
2014,10.33592436,"Census Tract 1133.22, Los Angeles County, California",Chatsworth,January,34.253622,-118.571362,Chatsworth
2014,10.4723554,"Census Tract 1134.21, Los Angeles County, California",Winnetka,January,34.234694,-118.5826685,Chatsworth
2014,10.5576186,"Census Tract 1134.22, Los Angeles County, California",Winnetka,January,34.224085,-118.5821745,Canoga Park
2014,10.85627345,"Census Tract 1171.01, Los Angeles County, California",North Hills,January,34.2391215,-118.4617905,San Fernando
2014,10.79074536,"Census Tract 1171.02, Los Angeles County, California",North Hills,January,34.2463715,-118.4596495,San Fernando
2014,10.79772258,"Census Tract 1172.01, Los Angeles County, California",North Hills,January,34.242798,-118.470143,San Fernando
2014,10.76702464,"Census Tract 1172.02, Los Angeles County, California",North Hills,January,34.242857,-118.478624,San Fernando
2014,10.90326016,"Census Tract 1174.04, Los Angeles County, California",North Hills,January,34.228481,-118.479066,Van Nuys
2014,10.88299696,"Census Tract 1174.05, Los Angeles County, California",North Hills,January,34.2337315,-118.4702305,Van Nuys
2014,10.91714127,"Census Tract 1174.07, Los Angeles County, California",North Hills,January,34.2300885,-118.470266,Van Nuys
2014,10.96647535,"Census Tract 1174.08, Los Angeles County, California",North Hills,January,34.2248485,-118.4703675,Van Nuys
2014,10.90634954,"Census Tract 1175.10, Los Angeles County, California",North Hills,January,34.2336865,-118.462625,Van Nuys
2014,10.94070698,"Census Tract 1175.20, Los Angeles County, California",North Hills,January,34.230017,-118.4631875,Van Nuys
2014,10.9883981,"Census Tract 1175.30, Los Angeles County, California",North Hills,January,34.224845,-118.4634755,Van Nuys
2014,11.05470287,"Census Tract 1190.01, Los Angeles County, California",Arleta,January,34.232289,-118.4180405,San Fernando
2014,10.89198308,"Census Tract 1190.02, Los Angeles County, California",Arleta,January,34.245902,-118.428032,San Fernando
2014,10.84713884,"Census Tract 1192.01, Los Angeles County, California",Arleta,January,34.246411,-118.441015,San Fernando
2014,10.75562758,"Census Tract 1192.02, Los Angeles County, California",Arleta,January,34.2559555,-118.442705,San Fernando
2014,10.83197709,"Census Tract 1193.10, Los Angeles County, California",Panorama City,January,34.246626,-118.450697,San Fernando
2014,10.88581494,"Census Tract 1193.20, Los Angeles County, California",Panorama City,January,34.239058,-118.453982,San Fernando
2014,10.94246118,"Census Tract 1193.40, Los Angeles County, California",Panorama City,January,34.2336085,-118.4518995,Van Nuys
2014,10.92641253,"Census Tract 1193.41, Los Angeles County, California",Panorama City,January,34.237627,-118.4453355,San Fernando
2014,10.8870582,"Census Tract 1193.42, Los Angeles County, California",Panorama City,January,34.240834,-118.4468745,San Fernando
2014,10.92741004,"Census Tract 1194, Los Angeles County, California",Arleta,January,34.2399345,-118.4355265,San Fernando
2014,11.13679969,"Census Tract 1197, Los Angeles County, California",Panorama City,January,34.219334,-118.4266115,Van Nuys
2014,11.00585575,"Census Tract 1198, Los Angeles County, California",Arleta,January,34.2337665,-118.429943,San Fernando
2014,11.03054744,"Census Tract 1199, Los Angeles County, California",Panorama City,January,34.227376,-118.441236,Van Nuys
2014,11.05703169,"Census Tract 1200.10, Los Angeles County, California",Panorama City,January,34.2175015,-118.4629745,Van Nuys
2014,11.07807222,"Census Tract 1200.20, Los Angeles County, California",Panorama City,January,34.2166115,-118.4541405,Van Nuys
2014,11.11662739,"Census Tract 1200.30, Los Angeles County, California",Panorama City,January,34.2149315,-118.451986,Van Nuys
2014,10.98014454,"Census Tract 1201.03, Los Angeles County, California",Panorama City,January,34.229161,-118.4516205,Van Nuys
2014,11.04259936,"Census Tract 1201.04, Los Angeles County, California",Panorama City,January,34.224796,-118.4484845,Van Nuys
2014,10.98345071,"Census Tract 1201.05, Los Angeles County, California",Panorama City,January,34.2300875,-118.444443,Van Nuys
2014,11.02755119,"Census Tract 1201.06, Los Angeles County, California",Panorama City,January,34.223101,-118.4567005,Van Nuys
2014,10.9968629,"Census Tract 1201.07, Los Angeles County, California",Panorama City,January,34.2264195,-118.4566575,Van Nuys
2014,10.9480903,"Census Tract 1201.08, Los Angeles County, California",Panorama City,January,34.231779,-118.4563995,Van Nuys
2014,11.15083807,"Census Tract 1203, Los Angeles County, California",Panorama City,January,34.214918,-118.439841,Van Nuys
2014,11.14290055,"Census Tract 1204, Los Angeles County, California",Panorama City,January,34.2178505,-118.4330175,Van Nuys
2014,11.02028004,"Census Tract 1212.10, Los Angeles County, California",Pacoima,January,34.2400435,-118.404715,San Fernando
2014,11.27969308,"Census Tract 1216, Los Angeles County, California",Sun Valley,January,34.211448,-118.409348,Van Nuys
2014,11.22218396,"Census Tract 1220, Los Angeles County, California",Sun Valley,January,34.2171585,-118.4183795,Van Nuys
2014,11.40404476,"Census Tract 1233.03, Los Angeles County, California",Valley Glen,January,34.1975515,-118.411425,Van Nuys
2014,11.36853005,"Census Tract 1234.10, Los Angeles County, California",Valley Glen,January,34.197565,-118.4224435,Van Nuys
2014,11.42277849,"Census Tract 1234.20, Los Angeles County, California",Valley Glen,January,34.1939335,-118.418128,Van Nuys
2014,11.37658363,"Census Tract 1235.10, Los Angeles County, California",Valley Glen,January,34.195752,-118.4268885,Van Nuys
2014,11.44167633,"Census Tract 1235.20, Los Angeles County, California",Valley Glen,January,34.190302,-118.4244185,Van Nuys
2014,11.55486326,"Census Tract 1236.01, Los Angeles County, California",Valley Glen,January,34.177484,-118.417834,Van Nuys
2014,11.50168621,"Census Tract 1236.02, Los Angeles County, California",Valley Glen,January,34.1794765,-118.42688,Van Nuys
2014,11.57570264,"Census Tract 1245, Los Angeles County, California",Valley Glen,January,34.1741095,-118.4246955,Van Nuys
2014,11.65822226,"Census Tract 1246, Los Angeles County, California",Sherman Oaks,January,34.161935,-118.4268715,Sherman Oaks
2014,11.2251105,"Census Tract 1271.02, Los Angeles County, California",Van Nuys,January,34.206446,-118.4443775,Van Nuys
2014,11.28651764,"Census Tract 1271.03, Los Angeles County, California",Van Nuys,January,34.2046925,-118.42898,Van Nuys
2014,11.26005243,"Census Tract 1271.04, Los Angeles County, California",Van Nuys,January,34.2056005,-118.4356785,Van Nuys
2014,11.15386238,"Census Tract 1272.10, Los Angeles County, California",Van Nuys,January,34.2080785,-118.45744,Van Nuys
2014,11.20854253,"Census Tract 1272.20, Los Angeles County, California",Van Nuys,January,34.2047635,-118.4531115,Van Nuys
2014,11.12019077,"Census Tract 1273, Los Angeles County, California",Van Nuys,January,34.2087545,-118.4697515,Van Nuys
